--- Most to Least Appearances ---
Rowlet - 29 games total
Bibarel - 28 games total
Scolipede - 28 games total
Crustle - 28 games total
Deerling - 28 games total
Galvantula - 28 games total
Klink - 28 games total
Tynamo - 28 games total
Eelektrik - 28 games total
Golett - 28 games total
Klefki - 28 games total
Purrloin - 27 games total
Pansage - 27 games total
Blitzle - 27 games total
Basculin - 27 games total
Cofagrigus - 27 games total
Vanillish - 27 games total
Sawsbuck - 27 games total
Klinklang - 27 games total
Mandibuzz - 27 games total
Genesect - 27 games total
Chesnaught - 27 games total
Pangoro - 27 games total
Carbink - 27 games total
Sligoo - 27 games total
Phantump - 27 games total
Popplio - 27 games total
Cherubi - 26 games total
Herdier - 26 games total
Tympole - 26 games total
Seismitoad - 26 games total
Dwebble - 26 games total
Tornadus - 26 games total
Thundurus - 26 games total
Landorus - 26 games total
Fletchinder - 26 games total
Espurr - 26 games total
Aegislash - 26 games total
Avalugg - 26 games total
Zygarde - 26 games total
Decidueye - 26 games total
Litten - 26 games total
Zebstrika - 25 games total
Woobat - 25 games total
Venipede - 25 games total
Carracosta - 25 games total
Solosis - 25 games total
Reuniclus - 25 games total
Swanna - 25 games total
Amoonguss - 25 games total
Klang - 25 games total
Mienfoo - 25 games total
Mienshao - 25 games total
Druddigon - 25 games total
Pumpkaboo - 25 games total
Carnivine - 24 games total
Liepard - 24 games total
Pidove - 24 games total
Unfezant - 24 games total
Swoobat - 24 games total
Palpitoad - 24 games total
Whirlipede - 24 games total
Archeops - 24 games total
Duosion - 24 games total
Bouffalant - 24 games total
Rufflet - 24 games total
Vullaby - 24 games total
Aurorus - 24 games total
Bergmite - 24 games total
Burmy - 23 games total
Panpour - 23 games total
Simipour - 23 games total
Sigilyph - 23 games total
Yamask - 23 games total
Escavalier - 23 games total
Frillish - 23 games total
Jellicient - 23 games total
Ferroseed - 23 games total
Beheeyem - 23 games total
Cryogonal - 23 games total
Accelgor - 23 games total
Quilladin - 23 games total
Malamar - 23 games total
Tyrantrum - 23 games total
Amaura - 23 games total
Dartrix - 23 games total
Primarina - 23 games total
Vikavolt - 23 games total
Simisage - 22 games total
Pansear - 22 games total
Throh - 22 games total
Sawk - 22 games total
Darmanitan - 22 games total
Maractus - 22 games total
Tirtouga - 22 games total
Archen - 22 games total
Vivillon - 22 games total
Meowstic - 22 games total
Heliolisk - 22 games total
Tyrunt - 22 games total
Brionne - 22 games total
Grubbin - 22 games total
Solgaleo - 22 games total
Wormadam - 21 games total
Mothim - 21 games total
Watchdog - 21 games total
Tranquill - 21 games total
Ferrothorn - 21 games total
Honedge - 21 games total
Doublade - 21 games total
Gourgeist - 21 games total
Diancie - 21 games total
Incineroar - 21 games total
Mareanie - 21 games total
Salazzle - 21 games total
Lunala - 21 games total
Glameow - 20 games total
Purugly - 20 games total
Simisear - 20 games total
Darumaka - 20 games total
Bunnelby - 20 games total
Gogoat - 20 games total
Clawitzer - 20 games total
Hoopa - 20 games total
Toxapex - 20 games total
Salandit - 20 games total
Bounsweet - 20 games total
Tsareena - 20 games total
Patrat - 19 games total
Elgyem - 19 games total
Heatmor - 19 games total
Durant - 19 games total
Litleo - 19 games total
Binacle - 19 games total
Barbaracle - 19 games total
Dragalge - 19 games total
Torracat - 19 games total
Ribombee - 19 games total
Rockruff - 19 games total
Steenee - 19 games total
Togedemaru - 19 games total
Kommo-o - 19 games total
Necrozma - 19 games total
Karrablast - 18 games total
Diggersby - 18 games total
Pyroar - 18 games total
Flabebe - 18 games total
Floette - 18 games total
Florges - 18 games total
Swirlix - 18 games total
Skrelp - 18 games total
Cutiefly - 18 games total
Lycanroc - 18 games total
Bewear - 18 games total
Golisopod - 18 games total
Drampa - 18 games total
Scorbunny - 18 games total
Corviknight - 18 games total
Shelmet - 17 games total
Scatterbug - 17 games total
Clauncher - 17 games total
Helioptile - 17 games total
Toucannon - 17 games total
Charjabug - 17 games total
Wishiwashi - 17 games total
Mudsale - 17 games total
Stufful - 17 games total
Comfey - 17 games total
Sandygast - 17 games total
Jangmo-o - 17 games total
Hakamo-o - 17 games total
Marshadow - 17 games total
